Loc ID,Route,BMP,Start,EMP,End,K Factor %,D Factor %,T Factor %,AADT_1-AADT 2022,AADT_2-AADT 2042
101374,SR-189,2.8,I-19 Exit 4 G-Ramp,3.5,N Grand Ave,12,52,3.0,20370,30496
8024,SR-189 nonCard,0,Nogales TB,0.4,SR-189,13,-,14.000000000000002,153,178
101376,SR-195,5.4,W County 23rd St S,9,S Avenue B,8,64,14.000000000000002,10166,15565
102288,SR-195,9.2,S Avenue B,23.9,E County 14th St S,11,63,10.0,5159,7899
101377,SR-195,23.8,E County 14th St S,26.8,E 32nd St,8,51,17.0,9605,10258
101379,SR-195,26.7,E 32nd St,27.2,I-8 Front (1),7,53,16.0,15309,16350
101381,SR-202,0.5,SR-202 Exit 1 A2-Ramp,0.7,24th St,7,52,14.000000000000002,134812,212199
101382,SR-202,0.8,24th St,1.8,32nd St,7,53,7.000000000000001,214687,337925
101383,SR-202,1.8,32nd St,2.8,40th St,5,67,6.0,243128,382692
101384,SR-202,2.8,40th St,3.5,SR-143,8,57,15.0,140136,220579
101385,SR-202,3.5,SR-143,4.5,Van Buren St,8,57,6.0,169077,266133
101386,SR-202,4.5,Van Buren St,5.7,Priest Dr,7,65,5.0,225645,355173
101387,SR-202,5.7,Priest Dr,6.4,Center Pkwy,9,67,14.000000000000002,214174,337117
101388,SR-202,6.4,Center Pkwy,7.7,SR-202 Exit 7 G-Ramp,8,66,7.000000000000001,198851,312998
101389,SR-202,7.8,SR-202 Exit 7 G-Ramp,8.7,McClintock Dr,6,55,6.0,236477,372223
101390,SR-202,8.7,McClintock Dr,9.8,SR-101 nonCard,8,54,8.0,147577,249036
101391,SR-202,9.8,SR-101 nonCard,11.1,Dobson Rd,10,79,14.000000000000002,92594,145746
101392,SR-202,11.1,Dobson Rd,12,Alma School Rd,9,72,11.0,109160,184208
101393,SR-202,12,Alma School Rd,12.7,McKellips Rd,9,72,16.0,90306,142145
101394,SR-202,12.7,McKellips Rd,13.2,SR-87,11,75,11.0,66616,104856
101395,SR-202,13.2,SR-87,16.6,Gilbert Rd,11,75,9.0,85428,134467
101396,SR-202,16.6,Gilbert Rd,16.9,McDowell Rd,10,79,7.000000000000001,101440,159670
101397,SR-202,16.9,McDowell Rd,19.1,Val Vista Dr,6,84,8.0,52802,83112
101398,SR-202,19.1,Val Vista Dr,20.1,Greenfield Mes Rd,11,80,7.000000000000001,95418,150191
101399,SR-202,20.1,Greenfield Mes Rd,21.1,Higley Rd,9,80,7.000000000000001,105285,165722
101400,SR-202,21.1,Higley Rd,22.2,Recker Rd,12,75,7.000000000000001,84524,133044
101401,SR-202,22.2,Recker Rd,23.8,McDowell Rd,11,70,15.0,39600,62332
101425,SR-202,23.7,McDowell Rd,24.9,McKellips Rd,9,69,12.0,53632,84419
101426,SR-202,24.9,McKellips Rd,26.4,Brown Rd,11,80,6.0,77581,122115
101427,SR-202,26.4,Brown Rd,27.9,University Dr,11,77,6.0,74382,117080
101402,SR-202,27.9,University Dr,29,Broadway Rd,11,66,6.0,89237,140462
101403,SR-202,29,Broadway Rd,30.6,US-60,10,67,6.0,99115,156010
101404,SR-202,30.6,US-60,31.1,Baseline Rd,10,51,9.0,31625,49779
101405,SR-202,31.1,Baseline Rd,32.1,Guadalupe Rd,9,53,6.0,107724,169561
101406,SR-202,32.1,Guadalupe Rd,33.1,Elliot Rd,10,58,13.0,111489,175488
101407,SR-202,33.1,Elliot Rd,34.4,SR-202 Exit 34 A-Ramp,11,56,12.0,125519,211813
101408,SR-202,34.4,SR-202 Exit 34 A-Ramp,36.6,Power Rd,10,62,15.0,96381,151707
101409,SR-202,36.7,Power Rd,38.6,Higley Rd,9,60,9.0,68504,107828
101410,SR-202,38.6,Higley Rd,40.8,Williams Field Rd,9,63,7.000000000000001,81680,108269
101411,SR-202,40.8,Williams Field Rd,41.5,Santan Village Pkwy,9,52,7.000000000000001,69828,109912
101412,SR-202,41.5,Santan Village Pkwy,42.5,Val Vista Dr,9,64,5.0,110122,173336
101413,SR-202,42.5,Val Vista Dr,44.6,Gilbert Rd,5,58,11.0,126190,198627
101414,SR-202,44.6,Gilbert Rd,45.6,Cooper Rd,8,50,5.0,147723,232521
101415,SR-202,45.6,Cooper Rd,46.6,Chandler/Maricopa Cnty TB,8,52,9.0,94857,149308
101416,SR-202,46.6,Chandler/Maricopa Cnty TB,47.6,SR-87,8,51,6.0,173154,272550
101417,SR-202,47.6,SR-87,48.6,Alma School Rd,8,52,10.0,179548,282615
101418,SR-202,48.6,Alma School Rd,49.6,Dobson Rd,8,53,5.0,190076,299186
101419,SR-202,49.6,Dobson Rd,50.2,SR-202 Exit 50 A-Ramp,8,60,4.0,200070,314917
101420,SR-202,50.2,SR-202 Exit 50 A-Ramp,50.7,Price Rd,9,50,8.0,102808,161823
101421,SR-202,50.7,Price Rd,51.3,SR-101 Exit 61 A-Ramp,8,57,7.000000000000001,104115,163881
101422,SR-202,51.3,SR-101 Exit 61 A-Ramp,53.8,Kyrene Rd,10,52,8.0,134065,211023
101423,SR-202,53.7,Kyrene Rd,55.3,I-10,8,53,2.0,125012,196773
101424,SR-202,55.3,I-10,56.8,40th St,10,60,5.0,45607,71787
104004,SR-202,56.8,40th St,71.8,Baseline Rd,10,59,17.0,69624,109591
104009,SR-202,71.8,Baseline Rd,78,I-10,10,57,18.0,68593,107968
101469,SR-210,1.2,SR-210 nonCard,2.2,S Kino Pkwy,9,59,7.000000000000001,29010,42703
101470,SR-210,2.4,S Kino Pkwy,2.9,E 22nd St,9,59,6.0,34400,52437
101471,SR-210,2.7,E 22nd St,3.8,S Country Club Rd,10,65,8.0,20791,27903
101472,SR-210,3.7,S Country Club Rd,4.2,E 34th St,10,60,7.000000000000001,26546,40465
101473,SR-210,4.1,E 34th St,4.4,E Aviation Pkwy nonCard,6,55,8.0,23919,33895
101479,SR-238,24,Maricopa Rd,38,N Rio Bravo Rd,10,76,19.0,2236,3183
101480,SR-238,38,N Rio Bravo Rd,39.9,Ralston Rd,8,60,22.0,5278,13269
101481,SR-238,39.9,Ralston Rd,43,N Green Rd,10,60,19.0,8225,23441
101482,SR-238,42.9,N Green Rd,44.2,SR-347,9,55,21.0,6460,14815
102317,SR-260,206.2,SR-89A,206.7,E Rodeo Dr,8,56,13.0,30027,51578
101483,SR-260,206.8,E Rodeo Dr,207.7,E Godard Rd,9,59,5.0,26741,44147
101485,SR-260,207.8,E Godard Rd,209.1,E Prairie Ln,7,54,7.000000000000001,20402,32922
101487,SR-260,209.1,E Prairie Ln,215.9,W Cherry Creek Rd,8,56,16.0,16280,24844
101488,SR-260,215.8,W Cherry Creek Rd,218.6,I-17 Exit 287 C-Ramp,9,53,17.0,15329,25307
101489,SR-260,218.6,I-17 Exit 287 A-Ramp,219.4,Unidrd Camp Verde,9,57,8.0,11566,16054
101490,SR-260,219.3,Unidrd Camp Verde,219.9,W General Crook Trl,9,54,9.0,6058,10406
101491,SR-260,219.9,W General Crook Trl,221.2,S Main St,8,55,15.0,7325,10168
101493,SR-260,221.2,S Main St,221.8,S McCracken Ln,9,52,13.0,10054,17270
101495,SR-260,221.8,S McCracken Ln,224.3,E Sierra Verde Rd,8,53,8.0,6485,9002
101496,SR-260,224.3,E Sierra Verde Rd,225.5,S Verde Lakes Dr,8,60,10.0,5980,10272
101497,SR-260,225.5,S Verde Lakes Dr,226.1,S Aspen Way,9,58,14.000000000000002,3151,5413
101498,SR-260,226.1,S Aspen Way,227.7,E Lazar Rd,10,55,9.0,2469,4241
101499,SR-260,227.8,E Lazar Rd,251.9,Prescott 8853/Prescott 8854 DB,11,54,8.0,1369,1732
101500,SR-260,251.6,Az 87,252,SR-260 nonCard,9,50,9.0,21348,47963
101501,SR-260,252,SR-260 nonCard,252.6,Ranger Station Rd,10,51,6.0,24930,56011
101503,SR-260,252.7,Ranger Station Rd,255.7,S Moonlight Dr,9,55,6.0,15845,20051
101505,SR-260,255.8,S Moonlight Dr,258.6,S Lion Springs Rd,8,64,9.0,12482,28044
101506,SR-260,258.6,S Lion Springs Rd,263.1,E FS 405A Rd,10,52,14.000000000000002,8738,11278
101507,SR-260,263.3,E FS 405A Rd,266.8,W Control Rd,13,59,16.0,9066,13726
